4098.7095,4109.3602,4043.4925,4047.0483,4044.3842,1.3432,15294699000,2.56E+11
4044.3842,4047.5566,4000.9008,4009.7831,4017.5941,0.6668,13814876100,2.10E+11
4017.5941,4018.6094,3992.1339,4018.6094,4014.5702,0.0753,10560579900,1.77E+11
4014.5702,4014.5702,3987.8637,3995.5786,3954.9883,1.5065,11105153900,1.85E+11
3954.9883,4007.1396,3954.9883,3982.9672,4003.0829,-1.2014,13129786000,2.11E+11
4003.0829,4011.0591,3927.2491,3931.6236,3995.8846,0.1801,13416664900,1.94E+11
3995.8846,4043.0123,3979.7522,4031.7396,4039.7051,-1.0847,12730894100,1.97E+11
4039.7051,4046.2317,4024.4185,4046.2317,4047.0293,-0.181,11226572800,1.67E+11
4047.0293,4052.1557,4016.3387,4027.5613,4021.9549,0.6234,11530447900,1.67E+11
4021.9549,4050.2213,4016.1015,4023.606,4001.2509,0.5174,13792581300,1.93E+11
4001.2509,4001.2509,3967.926,3988.2239,3982.1851,0.4788,10244394200,1.54E+11
3982.1851,3999.8051,3968.5723,3998.1636,3983.6477,-0.0367,10427773700,1.49E+11
3983.6477,4018.6759,3982.9299,4001.1708,3983.5677,0.002,13659748300,2.01E+11
3983.5677,3991.7761,3958.9774,3969.9521,3971.3402,0.3079,14430306000,1.96E+11
3971.3402,3976.3151,3901.7263,3901.7263,3867.0232,2.6976,13645665200,2.08E+11
3867.0232,3872.3031,3830.4185,3838.3769,3856.6324,0.2694,9381383200,1.36E+11
3856.6324,3885.4211,3818.4318,3848.4892,3845.6135,0.2865,9306405400,1.39E+11
3845.6135,3873.6984,3838.4247,3873.6984,3872.7701,-0.7012,8371183100,1.24E+11
3872.7701,3874.7484,3844.4776,3850.0009,3829.3245,1.1345,7744807600,1.25E+11
3829.3245,3835.6333,3800.1796,3828.3206,3824.064,0.1376,7903332600,1.27E+11
3824.064,3907.5761,3818.1488,3907.5761,3913.7949,-2.2927,10337836000,1.57E+11
3913.7949,3951.743,3907.5788,3950.5981,3935.222,-0.5445,9486103300,1.49E+11
3935.222,3955.7145,3923.9213,3955.7145,3956.2495,-0.5315,10079115000,1.57E+11
3956.2495,3966.8518,3944.0715,3963.7754,3922.9117,0.8498,9401529100,1.60E+11
3922.9117,3946.4312,3898.4041,3914.6602,3912.8159,0.258,11280176200,1.89E+11
3912.8159,3945.1956,3907.4021,3941.125,3925.2177,-0.316,9261838200,1.53E+11
